Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
Sportium,10,2021/06/09 12:15 pm,2021/06/09 12:19 pm,-€10.00,13,-20,-500
Sportium,10,2021/06/09 12:10 pm,2021/06/09 12:14 pm,-€10.00,11,-159,-500
Sportium,10,2021/06/08  1:47 pm,2021/06/08  1:52 pm,-€10.00,20,-53,-500
Sportium,10,2021/06/08  1:44 pm,2021/06/08  1:49 pm,-€10.00,16,-468,-500
Sportium,10,2021/06/08  1:43 pm,2021/06/08  1:46 pm,-€10.00,5,-405,-500
Sportium,10,2021/06/08  1:36 pm,2021/06/08  1:41 pm,-€10.00,16,-202,-500
Sportium,10,2021/06/08  1:31 pm,2021/06/08  1:32 pm,-€10.00,6,-307,-500
Sportium,10,2021/06/08  1:20 pm,2021/06/08  1:26 pm,-€10.00,17,-533,-500
Sportium,10,2021/06/08  1:20 pm,2021/06/08  1:30 pm,-€10.00,37,-466,-500
Sportium,10,2021/06/08 12:21 pm,2021/06/08 12:24 pm,-€10.00,9,-4,-500
Sportium,10,2021/06/08 12:20 pm,2021/06/08 12:25 pm,-€10.00,15,-399,-500
Sportium,10,2021/06/08 12:19 pm,2021/06/08 12:19 pm,-€10.00,1,-467,-500
Sportium,10,2021/06/08 12:09 pm,2021/06/08 12:09 pm,-€10.00,1,-303,-500
Sportium,10,2021/06/08 12:01 pm,2021/06/08 12:05 pm,-€10.00,13,152,-500
Sportium,10,2021/03/23  8:50 pm,2021/03/23  8:56 pm,-€10.00,15,-8,-500
Sportium,10,2021/03/23 11:15 am,2021/03/23 11:23 am,-€10.00,21,326,-500
Sportium,10,2021/03/23 11:15 am,2021/03/23 11:18 am,-€10.00,6,-464,-500
Sportium,10,2021/03/16  2:09 pm,2021/03/16  2:12 pm,-€10.00,9,427,-500
Sportium,10,2021/03/16  2:05 pm,2021/03/16  2:06 pm,-€10.00,3,-218,-500
Sportium,10,2021/03/16  1:49 pm,2021/03/16  1:51 pm,-€10.00,5,-85,-500
Sportium,10,2021/03/16  1:47 pm,2021/03/16  1:52 pm,-€10.00,17,-217,-500
Sportium,10,2021/03/16  1:40 pm,2021/03/16  1:43 pm,-€10.00,7,-416,-500
Sportium,10,2021/03/16 12:20 pm,2021/03/16 12:29 pm,-€10.00,31,305,-500
Sportium,10,2021/03/16 12:14 pm,2021/03/16 12:19 pm,-€10.00,12,-247,-500
Sportium,10,2021/03/16 12:10 pm,2021/03/16 12:16 pm,-€10.00,15,-182,-500
Sportium,10,2021/03/16 12:09 pm,2021/03/16 12:10 pm,-€10.00,2,-500,-500
Sportium,10,2021/03/16 12:09 pm,2021/03/16 12:14 pm,-€10.00,13,-40,-500
Sportium,10,2021/03/16 12:05 pm,2021/03/16 12:08 pm,-€10.00,9,-410,-500
Sportium,10,2021/03/16 12:05 pm,2021/03/16 12:08 pm,-€10.00,11,-232,-500
Sportium,10,2021/03/15  2:51 pm,2021/03/15  2:55 pm,-€10.00,8,448,-500
Sportium,10,2021/03/15  2:50 pm,2021/03/15  2:54 pm,-€10.00,15,-2,-500
Sportium,10,2021/03/15  2:41 pm,2021/03/15  2:45 pm,-€10.00,12,-384,-500
Sportium,10,2021/03/15  2:41 pm,2021/03/15  2:43 pm,-€10.00,10,-500,-500
Sportium,10,2021/03/15  2:37 pm,2021/03/15  2:40 pm,-€10.00,8,295,-500
Sportium,10,2021/03/15  2:34 pm,2021/03/15  2:40 pm,-€10.00,27,584,-500
Sportium,10,2021/03/15  2:31 pm,2021/03/15  2:33 pm,-€10.00,10,-188,-500
Sportium,10,2021/03/15  2:30 pm,2021/03/15  2:36 pm,-€10.00,20,-513,-500
Sportium,10,2021/03/15  2:28 pm,2021/03/15  2:29 pm,-€10.00,6,150,-500
Sportium,10,2021/03/15  2:27 pm,2021/03/15  2:30 pm,-€10.00,12,31,-500
Sportium,10,2021/03/15  2:22 pm,2021/03/15  2:26 pm,-€10.00,17,179,-500
Sportium,10,2021/03/15 12:49 pm,2021/03/15 12:51 pm,-€10.00,3,144,-500
Sportium,10,2021/03/15 12:46 pm,2021/03/15 12:50 pm,-€10.00,16,11,-500
Sportium,10,2021/03/15 12:30 pm,2021/03/15 12:37 pm,-€10.00,19,-204,-500
Sportium,10,2021/03/15 12:27 pm,2021/03/15 12:32 pm,-€10.00,17,-131,-500
Sportium,10,2021/03/15 12:21 pm,2021/03/15 12:26 pm,-€10.00,12,-480,-500
Sportium,10,2021/03/15 12:19 pm,2021/03/15 12:21 pm,-€10.00,4,372,-500
Sportium,10,2021/03/15 12:19 pm,2021/03/15 12:22 pm,-€10.00,12,-43,-500
Sportium,10,2021/03/15 11:50 am,2021/03/15 11:56 am,-€10.00,24,-684,-500
Sportium,10,2021/03/15 11:48 am,2021/03/15 11:50 am,-€10.00,3,-110,-500
Sportium,10,2021/03/15 11:37 am,2021/03/15 11:37 am,-€10.00,1,12,-500
Sportium,10,2021/03/15 11:34 am,2021/03/15 11:36 am,-€10.00,7,-227,-500
Sportium,10,2021/03/15 11:28 am,2021/03/15 11:33 am,-€10.00,17,-7,-500
Sportium,10,2021/03/15 11:26 am,2021/03/15 11:27 am,-€10.00,5,-180,-500
Sportium,10,2021/03/15 11:21 am,2021/03/15 11:23 am,-€10.00,6,152,-500
Sportium,10,2021/03/15 11:21 am,2021/03/15 11:25 am,-€10.00,11,-433,-500
Sportium,10,2021/03/15 10:55 am,2021/03/15 11:00 am,-€10.00,13,-622,-500
Sportium,10,2021/03/15 10:54 am,2021/03/15 11:00 am,-€10.00,22,102,-500
